16666us
8539000ns,8127000ns,16666us
10927100ns,5738900ns,16666us
8967000ns,7699000ns,16666us
9422400ns,7243600ns,16666us
8245300ns,8420700ns,16666us
9013500ns,7652500ns,16666us
15535000ns,1131000ns,16666us
9021100ns,7644900ns,16666us
8467400ns,8198600ns,16666us
9100500ns,7565500ns,16666us
8840500ns,7825500ns,16666us
8920800ns,7745200ns,16666us
9877800ns,6788200ns,16666us
16674800ns,-8800ns,16666us
8237300ns,8428700ns,16666us
9367300ns,7298700ns,16666us
12265200ns,4400800ns,16666us
11089400ns,5576600ns,16666us
8845200ns,7820800ns,16666us
10249700ns,6416300ns,16666us
8962500ns,7703500ns,16666us
9682600ns,6983400ns,16666us
9017400ns,7648600ns,16666us
9391800ns,7274200ns,16666us
10178000ns,6488000ns,16666us
9580500ns,7085500ns,16666us
8764200ns,7901800ns,16666us
9093700ns,7572300ns,16666us
8836600ns,7829400ns,16666us
11006200ns,5659800ns,16666us
7946700ns,8719300ns,16666us
8558000ns,8108000ns,16666us
8188900ns,8477100ns,16666us
10084600ns,6581400ns,16666us
8894600ns,7771400ns,16666us
10304700ns,6361300ns,16666us
8942100ns,7723900ns,16666us
9746900ns,6919100ns,16666us
9746900ns,6919100ns,16666us
8745800ns,7920200ns,16666us
8451300ns,8214700ns,16666us
10635200ns,6030800ns,16666us
8292400ns,8373600ns,16666us
9516100ns,7149900ns,16666us
8673300ns,7992700ns,16666us
10234700ns,6431300ns,16666us
8464000ns,8202000ns,16666us
9622200ns,7043800ns,16666us
15895200ns,770800ns,16666us
10324400ns,6341600ns,16666us
9825800ns,6840200ns,16666us
8773000ns,7893000ns,16666us
9181100ns,7484900ns,16666us
8951200ns,7714800ns,16666us
9248600ns,7417400ns,16666us
10080300ns,6585700ns,16666us
8680000ns,7986000ns,16666us
8733500ns,7932500ns,16666us
9198500ns,7467500ns,16666us
8274500ns,8391500ns,16666us
9701300ns,6964700ns,16666us
9129200ns,7536800ns,16666us
17667400ns,-1001400ns,16666us
10099200ns,6566800ns,16666us
9140500ns,7525500ns,16666us
8656800ns,8009200ns,16666us
